dataset	x_values	y_values
set_1	50.48150817	93.22270137
set_1	50.28240567	97.60998357
set_1	50.18670334	99.69468014
set_1	50.32691086	90.02205349
set_1	50.45620733	89.98741013
set_1	30.46484693	82.08923208
set_1	30.50159647	82.30712635
set_1	30.48956923	77.72988014
set_1	30.45024833	79.8348944
set_1	30.5183948	68.25258294
set_1	30.51166121	66.09371818
set_1	30.49807771	62.38498503
set_1	30.62022775	60.86008215
set_1	30.49218542	55.87891689
set_1	30.47463433	52.32215964
set_1	30.50099808	48.06969968
set_1	30.49442136	45.77347553
set_1	30.49954455	49.38209975
set_1	50.14439298	47.01428364
set_1	49.91289859	55.58783891
set_1	50.33742749	57.95531428
set_1	50.4189792	60.52491173
set_1	50.20525897	57.92421717
set_1	50.43531516	56.43932247
set_1	69.5057889	59.28492483
set_1	69.53407098	64.89297733
set_1	69.51010693	61.32962443
set_1	69.52632289	56.99527913
set_1	49.94723996	48.22957673
set_1	50.06310413	58.08503756
set_1	50.48990237	39.20541197
set_1	49.68886384	42.01851441
set_1	50.33348111	43.58867148
set_1	50.44675142	57.23058894
set_1	50.4209092	43.3479569
set_1	50.37405205	32.91824062
set_1	30.47682991	39.42460559
set_1	30.50347435	38.34855614
set_1	30.50483493	28.77148799
set_1	30.46221846	32.75047203
set_1	30.49130262	43.56137408
set_1	30.44965384	44.995123
set_1	30.48599422	47.34794647
set_1	30.50207679	36.44121292
set_1	30.47805889	28.02058049
set_1	30.50116088	38.31413856
set_1	30.50477302	26.41662567
set_1	30.50911533	22.82554712
set_1	50.11563217	16.69400655
set_1	50.44830134	21.64025646
set_1	50.17317743	29.17786439
set_1	49.92274192	38.44047291
set_1	50.31129937	26.86048827
set_1	50.39940961	38.96383892
set_1	50.33736264	40.91338614
set_1	50.2023181	47.212948
set_1	50.27493261	49.62349934
set_1	69.49438031	52.61241071
set_1	69.51933976	47.38453371
set_1	69.52918261	57.84126668
set_1	69.4957555	58.78507316
set_1	69.19905771	60.41895732
set_1	69.55109144	58.40109827
set_1	69.50668432	68.08446679
set_1	50.44411755	75.01329951
set_1	50.46722938	90.28146451
set_1	50.21088198	80.94177171
set_1	50.20540696	90.6405359
set_1	50.43829066	92.35476027
set_1	50.37351885	82.21920572
set_1	50.25368369	81.74382872
set_1	50.25047086	71.95138521
set_1	50.08705836	73.95187363
set_1	50.23107188	80.64738706
set_1	50.20774112	73.11450352
set_1	30.49950617	53.61252767
set_1	30.52036124	65.10040907
set_1	30.45495589	63.50177878
set_1	50.41647723	97.26969196
set_1	69.52506938	93.59805021
set_1	69.5202566	97.19387602
set_1	69.49897007	92.12048993
set_1	69.52861566	91.62208824
set_1	69.49976693	84.47968329
set_1	69.50380137	81.81540562
set_1	69.4875894	81.83598756
set_1	69.51911573	71.11596722
set_1	69.50437629	70.49344382
set_1	69.51257301	61.49756395
set_1	89.49420056	62.23432697
set_1	89.50012405	53.21633062
set_1	89.49024625	48.89079655
set_1	89.49778562	46.62990667
set_1	89.50485113	48.42340816
set_1	89.50105265	43.3473437
set_1	89.48884125	40.62509122
set_1	89.50162353	45.81517919
set_1	89.49752966	33.90137267
set_1	50.43909202	37.6707718
set_1	50.17985013	36.80755934
set_1	69.50507067	33.7401525
set_1	69.57986705	21.93523675
set_1	69.50647195	22.72866287
set_1	69.49947887	16.33746998
set_1	69.50026475	27.13602399
set_1	69.50415652	23.6689181
set_1	69.53227958	21.85090082
set_1	69.50011149	11.79162601
set_1	69.50481542	15.61435826
set_1	69.50347452	17.16908977
set_1	50.37740199	16.50601506
set_1	50.33942548	18.72345069
set_1	50.0936501	11.60771342
set_1	49.93412717	22.25613974
set_1	50.28881861	13.43641047
set_1	50.28799443	12.87228221
set_1	50.2347207	20.40447292
set_1	50.27970164	15.60873757
set_1	50.25300672	11.30208425
set_1	50.47414112	12.46199667
set_1	50.10843997	18.25904434
set_1	49.91905825	3.716853886
set_1	50.08366451	10.2358819
set_1	50.35226084	12.46860053
set_1	50.49757224	7.409625234
set_1	50.01630583	16.25368479
set_1	50.46822122	13.35670246
set_1	69.55067898	9.032987569
set_1	69.51867275	15.18048643
set_1	69.50345741	16.87831327
set_1	69.49948683	10.20782668
set_1	69.52752968	9.992296666
set_1	69.51909526	11.4226857
set_1	69.56189943	15.99980379
set_1	69.50104452	5.955833539
set_1	69.52463598	2.73476017
set_1	30.49959371	26.08556157
set_1	30.48739171	19.77947037
set_1	89.50018047	31.97891744
set_1	50.41027163	98.62836944
set_1	50.32592439	94.99463085
set_1	50.1040315	95.08853802
